GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Terminal Battleship,com.qualityworkshop.terminalbattleship.cli,GameRunner,249,0,28,0,74,0,25,0,11,0
Terminal Battleship,com.qualityworkshop.terminalbattleship.rendering,BoardRenderer,0,63,0,6,0,11,0,4,0,1
Terminal Battleship,com.qualityworkshop.terminalbattleship.strategy,RandomShotStrategy,6,26,0,2,2,7,1,3,1,2
Terminal Battleship,com.qualityworkshop.terminalbattleship.strategy,NoOpComputerStrategy,0,9,0,0,0,4,0,2,0,2
Terminal Battleship,com.qualityworkshop.terminalbattleship.board,Coordinate,44,66,6,8,7,14,7,3,1,2
Terminal Battleship,com.qualityworkshop.terminalbattleship.board,Board,74,220,14,28,13,38,14,18,2,9
Terminal Battleship,com.qualityworkshop.terminalbattleship.board,CellState,0,50,0,4,0,11,0,5,0,3
Terminal Battleship,com.qualityworkshop.terminalbattleship.game,GameEngine,18,183,5,14,4,43,7,16,2,10
Terminal Battleship,com.qualityworkshop.terminalbattleship.game,ShotResult,0,15,0,0,0,1,0,1,0,1
Terminal Battleship,com.qualityworkshop.terminalbattleship.game,ShotOutcome,0,33,0,0,0,6,0,1,0,1
Terminal Battleship,com.qualityworkshop.terminalbattleship.game,GameConfiguration,18,0,0,0,4,0,4,0,4,0
Terminal Battleship,com.qualityworkshop.terminalbattleship,TerminalBattleshipApplication,15,0,0,0,7,0,3,0,3,0
